Name,Temperature,Detailed Forecast
Tonight,31,"Mostly clear, with a low around 31. Southwest wind 3 to 12 mph."
Tuesday,61,"Sunny. High near 61, with temperatures falling to around 59 in the afternoon. West wind 3 to 12 mph."
Tuesday Night,37,"Mostly cloudy. Low around 37, with temperatures rising to around 39 overnight. Southwest wind 2 to 9 mph."
Wednesday,59,"A slight chance of rain showers after 2pm. Mostly cloudy. High near 59, with temperatures falling to around 55 in the afternoon. South wind 3 to 14 mph. Chance of precipitation is 20%."
Wednesday Night,44,"A slight chance of rain showers. Mostly cloudy, with a low around 44. South wind 9 to 14 mph. Chance of precipitation is 20%."
Thursday,62,"Rain showers likely. Cloudy, with a high near 62. Chance of precipitation is 60%. New rainfall amounts less than a tenth of an inch possible."
Thursday Night,46,"A chance of rain showers. Cloudy, with a low around 46. Chance of precipitation is 50%."
Friday,53,"Rain showers likely. Cloudy, with a high near 53. Chance of precipitation is 60%."
Friday Night,40,"A chance of rain showers. Cloudy, with a low around 40. Chance of precipitation is 40%."
Saturday,48,"Rain showers likely. Cloudy, with a high near 48. Chance of precipitation is 60%."
Saturday Night,37,"Rain showers likely before 2am. Mostly cloudy, with a low around 37. Chance of precipitation is 60%."
Sunday,55,"Mostly sunny, with a high near 55."
Sunday Night,39,"A slight chance of rain showers after 2am. Mostly cloudy, with a low around 39."
Monday,53,"A chance of rain showers. Mostly cloudy, with a high near 53. Chance of precipitation is 40%."
